State,Year,Ballot Measure to Abolish Death Penalty?,Ballot Measure to Reinstate Death Penalty?,Passed?
Ohio,1912,Yes,No,No
Oregon,1912,Yes,No,No
Arizona,1914,Yes,No,No
Oregon,1914,Yes,No,Yes
Arizona,1916,Yes,No,Yes
Arizona,1918,No,Yes,Yes
Oregon,1920,No,Yes,Yes
Michigan,1931,No,Yes,No
Arizona,1933,No,Yes,Yes
Virginia,1944,N/A,N/A,Yes
Oregon,1958,Yes,No,No
Oregon ,1964,Yes,No,Yes
Colorado,1966,Yes,No,No
Massachusetts,1968,No,Yes,Yes
Illinois,1970,Yes,No,No
California,1972,No,Yes,Yes
Rhode Island,1973,N/A,N/A,Yes
Colorado,1974,No,Yes,Yes
Washington,1975,No,Yes,Yes
California,1978,No,Yes,Yes
Oregon,1978,No,Yes,Yes
Massachusetts,1982,No,Yes,Yes
Oregon,1984,No,Yes,Yes
Oregon,1984,No,Yes,Yes
California,1990,N/A,N/A,Yes
Arizona,1992,N/A,N/A,Yes
New Jersey,1992,No,Yes,Yes
Ohio,1994,N/A,N/A,Yes
Wyoming,1994,N/A,N/A,Yes
California,1996,No,Yes,Yes
California,1996,No,Yes,Yes
Florida,1998,No,Yes,Yes
California,2000,No,Yes,Yes
Florida ,2002,No,Yes,Yes
Wisconsin,2006,No,Yes,Yes
California,2012,Yes,No,No
California,2016,Yes,No,No
California ,2016,N/A,N/A,Yes
Nebraska,2016,No,Yes,No
Oklahoma,2016,No,Yes,Yes
Alabama,2022,N/A,N/A,Yes
